Percentiles,Rainfall Values
1,0
2,0
3,0
4,0
5,0
6,0.004
7,0.008
8,0.008
9,0.011
10,0.015
11,0.019
12,0.023
13,0.031
14,0.034
15,0.042
16,0.046
17,0.053
18,0.065
19,0.076
20,0.084
21,0.095
22,0.107
23,0.122
24,0.134
25,0.145
26,0.16
27,0.179
28,0.198
29,0.214
30,0.237
31,0.259
32,0.278
33,0.305
34,0.328
35,0.351
36,0.381
37,0.412
38,0.443
39,0.473
40,0.507
41,0.542
42,0.58
43,0.618
44,0.66
45,0.702
46,0.748
47,0.793
48,0.843
49,0.893
50,0.946
51,1.007
52,1.06
53,1.122
54,1.19
55,1.255
56,1.328
57,1.396
58,1.472
59,1.556
60,1.64
61,1.732
62,1.823
63,1.923
64,2.026
65,2.136
66,2.251
67,2.373
68,2.502
69,2.644
70,2.792
71,2.949
72,3.117
73,3.296
74,3.487
75,3.693
76,3.914
77,4.15
78,4.41
79,4.684
80,4.982
81,5.31
82,5.665
83,6.05
84,6.477
85,6.95
86,7.469
87,8.049
88,8.698
89,9.43
90,10.269
91,11.238
92,12.367
93,13.718
94,15.373
95,17.479
96,20.264
97,24.223
98,30.563
99,43.392
