Percentiles,Rainfall Values
1,3.557
2,4.221
3,4.783
4,4.978
5,5.423
6,5.708
7,5.942
8,6.24
9,7.017
10,7.146
11,7.659
12,7.876
13,8.149
14,8.316
15,8.812
16,8.967
17,9.42
18,9.891
19,10.052
20,10.268
21,10.496
22,10.846
23,11.417
24,12.24
25,12.48
26,12.732
27,13.193
28,13.544
29,13.66
30,13.981
31,14.119
32,14.297
33,14.656
34,14.918
35,15.225
36,15.441
37,15.908
38,16.27
39,16.498
40,16.797
41,17.02
42,17.579
43,17.834
44,17.971
45,18.124
46,18.366
47,19.005
48,19.253
49,19.742
50,20.645
51,20.827
52,21.625
53,21.927
54,22.788
55,23.126
56,23.652
57,24.123
58,25.217
59,25.44
60,25.681
61,26.228
62,26.995
63,27.741
64,28.379
65,28.965
66,29.477
67,29.638
68,30.254
69,31.266
70,31.647
71,31.945
72,32.31
73,32.729
74,33.207
75,33.731
76,34.258
77,35.312
78,36.824
79,37.518
80,38.749
81,39.959
82,41.186
83,41.437
84,42.512
85,43.799
86,44.281
87,44.598
88,45.109
89,45.927
90,48.115
91,49.268
92,50.661
93,54.179
94,58.139
95,62.1
96,65.252
97,70.387
98,74.254
99,79.11
