Percentiles,Rainfall Values
1,4.38
2,5.909
3,6.404
4,6.694
5,7.071
6,7.753
7,8.504
8,8.839
9,9.424
10,10.139
11,10.619
12,10.797
13,11.062
14,11.492
15,11.857
16,12.146
17,12.44
18,12.918
19,13.147
20,13.424
21,13.545
22,13.728
23,14.203
24,14.338
25,14.503
26,14.598
27,14.821
28,15.074
29,15.296
30,15.32
31,15.465
32,15.622
33,15.642
34,15.748
35,15.99
36,16.163
37,16.333
38,16.494
39,16.746
40,16.835
41,16.992
42,17.091
43,17.166
44,17.311
45,17.357
46,17.457
47,17.641
48,17.832
49,18.015
50,18.082
51,18.221
52,18.318
53,18.445
54,18.528
55,18.854
56,18.918
57,19.017
58,19.2
59,19.347
60,19.602
61,19.822
62,20.027
63,20.297
64,20.435
65,20.732
66,20.945
67,21.339
68,21.781
69,22.022
70,22.102
71,22.232
72,22.34
73,22.392
74,22.666
75,22.96
76,23.024
77,23.243
78,23.531
79,23.738
80,23.949
81,24.048
82,24.227
83,24.516
84,24.698
85,25.166
86,25.439
87,25.783
88,26.164
89,26.663
90,27.054
91,27.598
92,28.4
93,28.81
94,29.496
95,30.344
96,31.792
97,32.263
98,33.26
99,36.774
