Percentiles,Rainfall Values
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0.015
46,0.027
47,0.04
48,0.054
49,0.07
50,0.088
51,0.107
52,0.129
53,0.154
54,0.182
55,0.212
56,0.245
57,0.28
58,0.317
59,0.358
60,0.401
61,0.453
62,0.507
63,0.564
64,0.626
65,0.692
66,0.767
67,0.844
68,0.93
69,1.027
70,1.13
71,1.245
72,1.373
73,1.513
74,1.667
75,1.837
76,2.028
77,2.224
78,2.443
79,2.679
80,2.937
81,3.22
82,3.536
83,3.891
84,4.27
85,4.686
86,5.157
87,5.693
88,6.305
89,6.987
90,7.78
91,8.705
92,9.815
93,11.131
94,12.746
95,14.791
96,17.492
97,21.313
98,27.493
99,39.78
