Percentiles,Rainfall Values
1,0.203
2,0.266
3,0.33
4,0.408
5,0.59
6,0.622
7,0.648
8,0.72
9,0.785
10,0.83
11,0.921
12,1.016
13,1.09
14,1.138
15,1.222
16,1.291
17,1.323
18,1.402
19,1.449
20,1.526
21,1.679
22,1.749
23,1.809
24,1.847
25,1.92
26,1.97
27,2.008
28,2.036
29,2.115
30,2.182
31,2.289
32,2.316
33,2.398
34,2.512
35,2.553
36,2.589
37,2.775
38,2.831
39,2.926
40,2.953
41,3.069
42,3.11
43,3.286
44,3.357
45,3.442
46,3.5
47,3.568
48,3.653
49,3.877
50,3.955
51,4.089
52,4.354
53,4.501
54,4.542
55,4.594
56,4.665
57,4.707
58,4.789
59,4.904
60,4.942
61,5.093
62,5.184
63,5.469
64,5.707
65,5.744
66,5.87
67,6.016
68,6.208
69,6.293
70,6.642
71,6.828
72,6.932
73,7.048
74,7.332
75,7.459
76,7.563
77,7.78
78,7.935
79,8.034
80,8.187
81,8.291
82,8.407
83,8.754
84,9.067
85,9.292
86,9.592
87,9.935
88,10.351
89,10.574
90,11.028
91,11.313
92,11.615
93,12.046
94,12.785
95,13.131
96,14.222
97,15.512
98,17.753
99,18.85
