Percentiles,Rainfall Values
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0.02
40,0.042
41,0.065
42,0.092
43,0.122
44,0.155
45,0.192
46,0.235
47,0.278
48,0.32
49,0.369
50,0.42
51,0.477
52,0.535
53,0.595
54,0.658
55,0.725
56,0.797
57,0.871
58,0.953
59,1.038
60,1.127
61,1.223
62,1.327
63,1.437
64,1.555
65,1.682
66,1.82
67,1.974
68,2.13
69,2.296
70,2.479
71,2.668
72,2.871
73,3.09
74,3.328
75,3.588
76,3.868
77,4.158
78,4.469
79,4.807
80,5.173
81,5.57
82,6.008
83,6.481
84,6.981
85,7.542
86,8.163
87,8.854
88,9.632
89,10.494
90,11.459
91,12.569
92,13.855
93,15.373
94,17.195
95,19.449
96,22.362
97,26.451
98,32.557
99,44.098
