Percentiles,Rainfall Values
1,0.209
2,0.248
3,0.353
4,0.463
5,0.56
6,0.776
7,0.949
8,1.005
9,1.069
10,1.124
11,1.217
12,1.344
13,1.435
14,1.501
15,1.564
16,1.686
17,1.793
18,1.847
19,1.883
20,1.934
21,1.967
22,2.017
23,2.072
24,2.098
25,2.133
26,2.206
27,2.227
28,2.243
29,2.366
30,2.4
31,2.46
32,2.547
33,2.611
34,2.689
35,2.792
36,2.834
37,2.89
38,2.961
39,2.986
40,3.055
41,3.14
42,3.205
43,3.261
44,3.348
45,3.434
46,3.499
47,3.576
48,3.598
49,3.649
50,3.719
51,3.749
52,3.82
53,3.841
54,3.9
55,3.925
56,3.952
57,3.995
58,4.053
59,4.094
60,4.128
61,4.196
62,4.221
63,4.277
64,4.343
65,4.39
66,4.502
67,4.529
68,4.624
69,4.739
70,4.78
71,4.832
72,4.933
73,4.986
74,5.043
75,5.136
76,5.201
77,5.283
78,5.426
79,5.499
80,5.544
81,5.743
82,5.889
83,5.966
84,6.049
85,6.14
86,6.253
87,6.317
88,6.381
89,6.438
90,6.508
91,6.576
92,6.809
93,7.063
94,7.546
95,8.077
96,8.359
97,8.595
98,9.221
99,9.905
