Percentiles,Rainfall Values
1,0.008
2,0.038
3,0.076
4,0.126
5,0.191
6,0.259
7,0.336
8,0.408
9,0.488
10,0.565
11,0.641
12,0.725
13,0.816
14,0.9
15,1.003
16,1.11
17,1.205
18,1.297
19,1.381
20,1.48
21,1.587
22,1.684
23,1.785
24,1.896
25,2.022
26,2.136
27,2.264
28,2.38
29,2.51
30,2.655
31,2.8
32,2.934
33,3.082
34,3.235
35,3.38
36,3.54
37,3.71
38,3.876
39,4.021
40,4.181
41,4.379
42,4.57
43,4.745
44,4.921
45,5.119
46,5.327
47,5.539
48,5.768
49,6.004
50,6.231
51,6.454
52,6.721
53,6.952
54,7.187
55,7.446
56,7.698
57,7.979
58,8.293
59,8.621
60,8.972
61,9.3
62,9.632
63,9.968
64,10.326
65,10.696
66,11.093
67,11.467
68,11.871
69,12.321
70,12.787
71,13.26
72,13.79
73,14.305
74,14.887
75,15.465
76,16.029
77,16.64
78,17.305
79,18.112
80,18.925
81,19.852
82,20.851
83,21.744
84,22.747
85,24.01
86,25.208
87,26.663
88,28.275
89,29.903
90,32.046
91,34.653
92,37.75
93,40.817
94,45.07
95,50.122
96,56.457
97,64.049
98,75.779
99,95.688
