Percentiles,Rainfall Values
1,0.106
2,0.115
3,0.141
4,0.226
5,0.468
6,0.555
7,0.605
8,0.775
9,0.919
10,0.949
11,1.01
12,1.075
13,1.127
14,1.25
15,1.362
16,1.494
17,1.674
18,1.76
19,1.892
20,2.293
21,2.385
22,2.519
23,2.661
24,2.99
25,3.163
26,3.165
27,3.178
28,3.214
29,3.292
30,3.384
31,3.43
32,3.519
33,3.604
34,3.654
35,3.781
36,3.863
37,3.934
38,4.012
39,4.043
40,4.082
41,4.358
42,4.398
43,4.478
44,4.541
45,4.574
46,4.59
47,4.604
48,4.633
49,4.736
50,4.842
51,4.969
52,5.13
53,5.257
54,5.306
55,5.334
56,5.551
57,5.771
58,5.792
59,5.815
60,5.876
61,6.231
62,6.492
63,6.519
64,6.679
65,6.907
66,7.126
67,7.233
68,7.378
69,7.718
70,8.676
71,8.903
72,9.16
73,9.348
74,9.398
75,9.405
76,10.105
77,10.511
78,10.844
79,11.063
80,11.564
81,12.117
82,12.408
83,12.741
84,13.255
85,14.869
86,15.614
87,15.893
88,16.423
89,19.143
90,21.323
91,21.409
92,21.475
93,22.814
94,24.005
95,25.667
96,27.359
97,27.806
98,29.615
99,50.6
