Percentiles,Rainfall Values
1,4.835
2,4.897
3,5.008
4,5.281
5,6.358
6,8.463
7,11.325
8,11.518
9,11.983
10,12.221
11,12.318
12,12.494
13,12.616
14,13.039
15,14.288
16,15.816
17,16.782
18,17.887
19,18.885
20,19.214
21,19.78
22,19.897
23,19.897
24,19.897
25,19.957
26,20.022
27,20.141
28,20.774
29,21.973
30,22.072
31,22.492
32,24.608
33,24.974
34,25.928
35,26.234
36,26.416
37,26.952
38,27.347
39,27.435
40,27.541
41,27.614
42,27.884
43,28.448
44,28.843
45,28.883
46,29.327
47,29.778
48,29.967
49,30.74
50,31.307
51,31.674
52,32.139
53,32.646
54,34.089
55,34.169
56,34.896
57,35.133
58,36.087
59,36.24
60,37.583
61,38.166
62,38.824
63,39.493
64,40.052
65,40.844
66,41.11
67,41.3
68,41.617
69,42.479
70,42.669
71,44.63
72,45.837
73,46.723
74,47.357
75,53.037
76,58.486
77,58.786
78,62.005
79,69.767
80,71.082
81,72.559
82,74.836
83,74.984
84,79.214
85,81.956
86,83.742
87,85.7
88,87.431
89,88.944
90,92.087
91,96.9
92,98.664
93,102.193
94,103.904
95,106.493
96,109.623
97,112.344
98,123.368
99,154.96
