Percentiles,Rainfall Values
1,0.015
2,0.031
3,0.061
4,0.095
5,0.137
6,0.198
7,0.244
8,0.305
9,0.366
10,0.439
11,0.5
12,0.58
13,0.647
14,0.71
15,0.775
16,0.868
17,0.95
18,1.042
19,1.137
20,1.236
21,1.336
22,1.44
23,1.541
24,1.663
25,1.801
26,1.915
27,2.029
28,2.159
29,2.28
30,2.411
31,2.556
32,2.655
33,2.785
34,2.91
35,3.034
36,3.193
37,3.346
38,3.494
39,3.639
40,3.792
41,3.937
42,4.082
43,4.208
44,4.404
45,4.577
46,4.692
47,4.86
48,5.005
49,5.162
50,5.316
51,5.478
52,5.627
53,5.802
54,5.964
55,6.15
56,6.332
57,6.5
58,6.706
59,6.851
60,7.019
61,7.217
62,7.424
63,7.629
64,7.881
65,8.061
66,8.284
67,8.469
68,8.698
69,8.906
70,9.155
71,9.363
72,9.611
73,9.894
74,10.162
75,10.429
76,10.779
77,11.086
78,11.497
79,11.885
80,12.333
81,12.782
82,13.256
83,13.824
84,14.299
85,14.756
86,15.251
87,15.686
88,16.268
89,17.075
90,17.881
91,18.85
92,20.167
93,22.04
94,24.491
95,27.657
96,32.551
97,42.366
98,60.87
99,103.875
