Percentiles,Rainfall Values
1,0.191
2,0.306
3,0.374
4,0.653
5,0.958
6,1.558
7,1.869
8,2.069
9,2.171
10,2.213
11,2.53
12,3.292
13,3.491
14,3.961
15,4.135
16,4.32
17,4.733
18,5.085
19,5.339
20,5.484
21,5.734
22,5.836
23,5.884
24,5.897
25,6.112
26,6.182
27,6.312
28,6.463
29,6.51
30,6.667
31,6.831
32,6.871
33,6.981
34,7.124
35,7.271
36,7.367
37,7.381
38,7.399
39,7.491
40,7.504
41,7.68
42,8.103
43,8.367
44,8.57
45,8.66
46,8.729
47,8.859
48,8.875
49,8.98
50,9.084
51,9.26
52,9.38
53,9.401
54,9.5
55,9.662
56,9.783
57,9.912
58,10.063
59,10.678
60,11.004
61,11.068
62,11.101
63,11.231
64,11.362
65,11.62
66,12.162
67,12.935
68,13.077
69,13.143
70,13.468
71,14.378
72,14.626
73,14.687
74,14.779
75,15.299
76,15.802
77,16.138
78,16.445
79,16.779
80,16.944
81,17.218
82,17.454
83,17.806
84,19.48
85,19.923
86,20.869
87,22.503
88,26.451
89,27.396
90,28.739
91,28.842
92,28.993
93,29.664
94,30.884
95,34.125
96,38.547
97,41.266
98,44.471
99,70.644
