Percentiles,Rainfall Values
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0.085
32,0.178
33,0.272
34,0.353
35,0.447
36,0.536
37,0.618
38,0.701
39,0.793
40,0.884
41,0.985
42,1.089
43,1.207
44,1.325
45,1.442
46,1.56
47,1.685
48,1.818
49,1.96
50,2.105
51,2.246
52,2.422
53,2.59
54,2.761
55,2.947
56,3.147
57,3.357
58,3.585
59,3.829
60,4.05
61,4.299
62,4.575
63,4.839
64,5.14
65,5.428
66,5.774
67,6.111
68,6.472
69,6.849
70,7.237
71,7.653
72,8.082
73,8.564
74,9.062
75,9.595
76,10.178
77,10.798
78,11.419
79,12.14
80,12.918
81,13.733
82,14.627
83,15.578
84,16.618
85,17.814
86,19.155
87,20.563
88,22.122
89,23.994
90,26.018
91,28.444
92,31.336
93,34.49
94,38.613
95,43.7
96,50.004
97,59.145
98,73.356
99,99.613
