Percentiles,Rainfall Values
1,0
2,0
3,0.04
4,0.157
5,0.181
6,0.199
7,0.208
8,0.324
9,0.385
10,0.415
11,0.441
12,0.481
13,0.517
14,0.532
15,0.534
16,0.534
17,0.534
18,0.537
19,0.59
20,0.62
21,0.689
22,0.711
23,0.761
24,0.82
25,0.865
26,0.923
27,0.982
28,1.004
29,1.035
30,1.056
31,1.066
32,1.267
33,1.324
34,1.405
35,1.426
36,1.428
37,1.477
38,1.517
39,1.53
40,1.556
41,1.604
42,1.737
43,1.739
44,1.765
45,1.815
46,1.82
47,1.85
48,1.903
49,1.947
50,1.982
51,2.026
52,2.071
53,2.096
54,2.113
55,2.13
56,2.155
57,2.249
58,2.351
59,2.489
60,2.581
61,2.639
62,2.675
63,2.754
64,2.844
65,2.972
66,3.24
67,3.357
68,3.625
69,3.714
70,3.907
71,3.995
72,4.046
73,4.08
74,4.092
75,4.246
76,4.655
77,5.121
78,5.399
79,5.568
80,5.615
81,5.845
82,5.909
83,5.962
84,6.06
85,6.334
86,6.515
87,6.804
88,7.011
89,7.034
90,7.422
91,8.335
92,8.671
93,8.692
94,8.998
95,9.567
96,9.769
97,9.84
98,11.757
99,16.614
