Percentiles,Rainfall Values
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0.009
34,0.051
35,0.095
36,0.147
37,0.205
38,0.27
39,0.333
40,0.397
41,0.462
42,0.536
43,0.603
44,0.673
45,0.748
46,0.827
47,0.907
48,0.988
49,1.078
50,1.16
51,1.254
52,1.355
53,1.464
54,1.576
55,1.693
56,1.823
57,1.957
58,2.091
59,2.243
60,2.405
61,2.575
62,2.749
63,2.945
64,3.146
65,3.323
66,3.556
67,3.815
68,4.074
69,4.314
70,4.585
71,4.883
72,5.21
73,5.512
74,5.846
75,6.228
76,6.607
77,7
78,7.438
79,7.93
80,8.435
81,8.98
82,9.537
83,10.177
84,10.865
85,11.604
86,12.456
87,13.359
88,14.429
89,15.484
90,16.731
91,18.165
92,19.836
93,21.898
94,24.289
95,27.245
96,31.242
97,36.579
98,45.202
99,62.247
