WT_code,Count
11111,0
11112,587431
11120,87496
11211,0
11212,368134
11220,22196
11230,363
12111,0
12112,114474
12113,16
12120,38416
12130,1285
12211,0
12212,67698
12213,40
12221,0
12222,14217
12230,287
13111,0
13112,78194
13113,7
13120,43242
13211,0
13212,41967
13220,15420
13230,385
13311,0
13312,16
13320,2
14111,0
14112,41749
14113,2
14120,43010
14211,0
14212,11735
14213,9
14221,0
14222,9249
14223,1
14230,396
14311,0
14312,2
14320,0
21111,0
21112,476165
21113,175
21120,111231
21130,4992
21211,0
21212,173185
21213,5
21220,19947
21230,561
21311,0
21312,43
21320,1
22111,0
22112,142147
22113,6
22120,81499
22130,5177
22211,0
22212,43487
22213,0
22220,19881
22230,658
22311,0
22312,6
22320,1
23110,80958
23120,73526
23130,5546
23211,0
23212,24951
23213,0
23221,0
23222,20610
23230,787
23311,0
23312,1
23320,0
24110,17682
24120,31560
24130,3256
24211,0
24212,2902
24213,0
24221,0
24222,6385
24223,0
24230,549
24311,0
24312,0
24320,0
31111,0
31112,423420
31113,91
31121,73034
31122,89
31131,5319
31132,1
31140,748
31211,0
31212,123571
31213,2
31220,9873
31230,578
31240,62
31311,0
31312,27
31320,0
32111,0
32112,55618
32113,2
32120,44499
32130,3977
32140,806
32211,0
32212,12078
32213,0
32221,0
32222,6056
32230,363
32240,60
32311,0
32312,1
32320,1
33110,45541
33120,81187
33130,10608
33211,0
33212,7483
33220,10859
33230,956
33311,0
33312,0
33321,0
33322,0
34110,13432
34120,42644
34130,6890
34210,1601
34220,5200
34230,654
34310,0
34320,0
35100,7599
35200,915
35300,0
41111,0
41112,465198
41113,39
41121,28262
41122,75
41131,2220
41132,2
41141,372
41142,0
41211,0
41212,102682
41213,2
41221,0
41222,3362
41223,1
41230,369
41240,87
41311,0
41312,16
41313,0
41320,0
42111,0
42112,27667
42113,1
42120,36420
42130,7052
42140,1892
42211,0
42212,3773
42213,0
42221,0
42222,3075
42223,0
42230,779
42240,205
42311,0
42312,0
42321,0
42322,0
43110,9399
43120,43495
43130,9581
43141,2390
43142,0
43211,0
43212,831
43220,3477
43230,831
43240,196
43311,0
43312,0
43320,0
44110,2499
44120,19838
44130,4898
44140,1025
44210,237
44220,1650
44230,482
44240,133
44310,0
44320,0
45100,2326
45200,240
45300,0
