WT_code,Count
11111,0
11112,606332
11120,93925
11211,0
11212,462110
11220,86375
11230,740
12111,0
12112,61127
12113,72464
12120,47431
12130,1607
12211,0
12212,47968
12213,18915
12221,0
12222,38868
12230,571
13111,0
13112,65165
13113,70094
13120,82603
13211,0
13212,55923
13220,50875
13230,1403
13311,0
13312,73
13320,10
14111,0
14112,57192
14113,34616
14120,96625
14211,0
14212,34193
14213,6351
14221,0
14222,44003
14223,7264
14230,856
14311,0
14312,8
14320,6
21111,0
21112,195260
21113,417646
21120,192375
21130,10931
21211,0
21212,134391
21213,93084
21220,96227
21230,2491
21311,0
21312,195
21320,7
22111,0
22112,61156
22113,105174
22120,117102
22130,13098
22211,0
22212,40972
22213,25077
22220,60134
22230,2662
22311,0
22312,43
22320,1
23110,118405
23120,131231
23130,12472
23211,0
23212,30900
23213,15471
23221,0
23222,71285
23230,3334
23311,0
23312,49
23320,1
24110,39245
24120,78286
24130,4032
24211,0
24212,12732
24213,4101
24221,0
24222,37206
24223,5213
24230,1140
24311,0
24312,4
24320,0
31111,0
31112,123892
31113,421447
31121,111224
31122,121747
31131,15350
31132,11572
31140,1132
31211,0
31212,65057
31213,47122
31220,71323
31230,4241
31240,234
31311,0
31312,77
31320,4
32111,0
32112,35035
32113,95794
32120,144497
32130,25875
32140,916
32211,0
32212,19699
32213,14731
32221,0
32222,42063
32230,3279
32240,175
32311,0
32312,8
32320,0
33110,94048
33120,159046
33130,20144
33211,0
33212,32413
33220,59146
33230,4042
33311,0
33312,2
33321,0
33322,0
34110,22001
34120,52820
34130,4772
34210,8590
34220,26749
34230,1462
34310,0
34320,0
35100,10542
35200,4615
35300,0
41111,0
41112,75836
41113,430579
41121,90197
41122,71961
41131,20237
41132,6880
41141,2650
41142,141
41211,0
41212,36672
41213,28465
41221,0
41222,41046
41223,7364
41230,5480
41240,936
41311,0
41312,42
41313,26
41320,5
42111,0
42112,40792
42113,157791
42120,263757
42130,41907
42140,3643
42211,0
42212,10210
42213,8085
42221,0
42222,45119
42223,8377
42230,6515
42240,843
42311,0
42312,7
42321,0
42322,1
43110,81995
43120,100024
43130,14742
43141,1453
43142,83
43211,0
43212,5711
43220,27356
43230,3866
43240,330
43311,0
43312,0
43320,0
44110,9543
44120,26273
44130,5202
44140,573
44210,805
44220,8514
44230,1548
44240,105
44310,0
44320,0
45100,3658
45200,904
45300,0
